Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
47	109		Ag	9.91e+7	-	1.07e+8	1.09e+8	1.08e+8	1.02e+8	9.54e+7	7.89e+7	6.67e+7	5.79e+7	4.70e+7	4.07e+7	
47	110		Ag	1.28e+8	-	1.45e+8	1.62e+8	1.74e+8	1.82e+8	1.87e+8	1.95e+8	1.99e+8	2.00e+8	1.98e+8	1.94e+8	
48	106		Cd	4.07e+7	-	4.39e+7	4.47e+7	4.46e+7	4.40e+7	4.39e+7	4.37e+7	4.42e+7	4.49e+7	4.71e+7	4.97e+7	
48	108		Cd	2.95e+7	-	3.12e+7	3.11e+7	3.05e+7	2.96e+7	2.94e+7	2.87e+7	2.86e+7	2.86e+7	2.97e+7	3.10e+7	
48	110		Cd	0.00e+0	3.85e+7	3.83e+7	3.71e+7	3.60e+7	3.51e+7	3.45e+7	3.34e+7	3.31e+7	3.29e+7	3.33e+7	3.41e+7	
48	111		Cd	0.00e+0	1.00e+8	1.03e+8	1.06e+8	1.08e+8	1.09e+8	1.10e+8	1.10e+8	1.10e+8	1.10e+8	1.10e+8	1.10e+8	
48	112		Cd	0.00e+0	3.16e+7	3.10e+7	2.96e+7	2.86e+7	2.79e+7	2.73e+7	2.67e+7	2.65e+7	2.65e+7	2.74e+7	2.83e+7	
48	113		Cd	0.00e+0	9.29e+7	9.47e+7	9.67e+7	9.73e+7	9.73e+7	9.70e+7	9.69e+7	9.75e+7	9.90e+7	1.03e+8	1.06e+8	
48	114		Cd	0.00e+0	2.15e+7	2.12e+7	2.03e+7	1.96e+7	1.91e+7	1.88e+7	1.85e+7	1.84e+7	1.85e+7	1.91e+7	1.99e+7	
48	115	g	Cd	4.20e+7	-	4.19e+7	4.20e+7	4.20e+7	4.22e+7	4.25e+7	4.36e+7	4.52e+7	4.64e+7	4.70e+7	4.60e+7	
48	115	m	Cd	-	-	-	-	-	-	5.29e+7	-	-	-	-	-	
48	116		Cd	0.00e+0	1.19e+7	1.18e+7	1.15e+7	1.13e+7	1.10e+7	1.09e+7	1.08e+7	1.09e+7	1.09e+7	1.14e+7	1.21e+7	
49	113		In	1.37e+8	-	1.28e+8	1.23e+8	1.19e+8	1.17e+8	1.14e+8	1.11e+8	1.09e+8	1.07e+8	1.04e+8	1.03e+8	
49	114	m	In	-	-	-	-	-	-	3.16e+8	-	-	-	-	-	
49	115		In	9.62e+7	-	9.99e+7	1.01e+8	1.02e+8	1.02e+8	1.03e+8	1.03e+8	1.03e+8	1.04e+8	1.06e+8	1.09e+8	
50	112		Sn	2.85e+7	-	3.11e+7	3.15e+7	3.14e+7	3.01e+7	3.06e+7	3.43e+7	2.99e+7	2.98e+7	3.04e+7	3.16e+7	
50	114		Sn	2.41e+7	-	2.09e+7	2.03e+7	2.02e+7	1.98e+7	1.96e+7	1.93e+7	1.92e+7	1.93e+7	2.00e+7	2.10e+7	
50	115		Sn	4.44e+7	-	4.63e+7	4.77e+7	4.91e+7	4.95e+7	4.98e+7	5.02e+7	5.05e+7	5.08e+7	5.21e+7	5.34e+7	
50	116		Sn	1.67e+7	-	1.44e+7	1.38e+7	1.38e+7	1.35e+7	1.33e+7	1.31e+7	1.31e+7	1.34e+7	1.38e+7	1.43e+7	
50	117		Sn	4.43e+7	-	4.61e+7	4.68e+7	4.70e+7	4.67e+7	4.64e+7	4.54e+7	4.49e+7	4.46e+7	4.52e+7	4.64e+7	
50	118		Sn	1.34e+7	-	1.06e+7	9.77e+6	9.50e+6	9.16e+6	9.03e+6	8.90e+6	8.83e+6	9.05e+6	9.50e+6	9.83e+6	
50	119		Sn	3.32e+7	-	3.30e+7	3.19e+7	3.09e+7	3.05e+7	3.04e+7	3.04e+7	3.04e+7	3.05e+7	3.12e+7	3.23e+7	
50	120		Sn	7.72e+6	-	6.05e+6	5.66e+6	5.46e+6	5.31e+6	5.24e+6	5.21e+6	5.26e+6	5.35e+6	5.46e+6	5.84e+6	
50	121		Sn	3.42e+7	-	3.24e+7	3.04e+7	2.87e+7	2.72e+7	2.61e+7	2.42e+7	2.31e+7	2.21e+7	2.11e+7	2.04e+7	
50	122		Sn	4.33e+6	-	3.89e+6	3.56e+6	3.36e+6	3.25e+6	3.19e+6	3.16e+6	3.14e+6	3.15e+6	3.11e+6	3.05e+6	
50	124		Sn	4.30e+6	-	2.96e+6	2.38e+6	2.05e+6	1.87e+6	1.75e+6	1.60e+6	1.50e+6	1.46e+6	1.38e+6	1.33e+6	
50	125		Sn	1.25e+7	-	1.10e+7	1.00e+7	9.48e+6	9.03e+6	8.59e+6	8.09e+6	7.74e+6	7.43e+6	7.11e+6	6.83e+6	
50	126		Sn	1.54e+6	-	1.60e+6	1.54e+6	1.42e+6	1.46e+6	1.45e+6	1.34e+6	1.31e+6	1.32e+6	1.31e+6	1.33e+6	
51	121		Sb	7.72e+7	-	7.22e+7	7.54e+7	7.68e+7	7.71e+7	7.71e+7	7.65e+7	7.59e+7	7.54e+7	7.48e+7	7.47e+7	
51	122		Sb	1.14e+8	-	1.16e+8	1.23e+8	1.27e+8	1.28e+8	1.27e+8	1.25e+8	1.21e+8	1.17e+8	1.10e+8	1.04e+8	
51	123		Sb	4.78e+7	-	4.61e+7	4.54e+7	4.48e+7	4.43e+7	4.40e+7	4.33e+7	4.26e+7	4.19e+7	4.05e+7	3.95e+7	
51	125		Sb	4.57e+7	-	4.27e+7	4.11e+7	4.00e+7	3.92e+7	3.78e+7	3.73e+7	3.66e+7	3.60e+7	3.54e+7	3.46e+7	
52	120		Te	7.26e+7	-	7.29e+7	7.35e+7	7.42e+7	7.48e+7	7.55e+7	7.69e+7	7.85e+7	8.04e+7	8.46e+7	8.97e+7	
52	122		Te	5.19e+7	-	4.54e+7	4.39e+7	4.37e+7	4.33e+7	4.29e+7	4.28e+7	4.32e+7	4.40e+7	4.59e+7	4.82e+7	
52	123		Te	1.18e+8	-	1.21e+8	1.21e+8	1.21e+8	1.21e+8	1.21e+8	1.22e+8	1.24e+8	1.28e+8	1.36e+8	1.42e+8	
52	124		Te	2.83e+7	-	2.43e+7	2.32e+7	2.32e+7	2.27e+7	2.25e+7	2.23e+7	2.25e+7	2.30e+7	2.40e+7	2.54e+7	
52	125		Te	7.06e+7	-	6.90e+7	6.90e+7	6.94e+7	6.92e+7	6.91e+7	7.01e+7	7.17e+7	7.34e+7	7.55e+7	7.56e+7	
52	126		Te	1.48e+7	-	1.28e+7	1.23e+7	1.22e+7	1.19e+7	1.18e+7	1.18e+7	1.16e+7	1.17e+7	1.21e+7	1.28e+7	
52	128		Te	5.40e+6	-	5.88e+6	6.07e+6	6.17e+6	6.37e+6	6.46e+6	6.55e+6	6.95e+6	7.20e+6	7.60e+6	8.24e+6	
52	130		Te	2.08e+6	-	2.18e+6	2.16e+6	2.14e+6	2.12e+6	2.14e+6	2.18e+6	2.25e+6	2.26e+6	2.28e+6	2.42e+6	
53	127		I	9.85e+7	-	9.60e+7	9.51e+7	9.39e+7	9.26e+7	9.11e+7	8.87e+7	8.67e+7	8.52e+7	8.19e+7	8.06e+7	
53	129		I	6.73e+7	-	6.67e+7	6.50e+7	6.31e+7	6.15e+7	6.01e+7	5.81e+7	5.66e+7	5.54e+7	5.35e+7	4.77e+7	
54	124		Xe	1.06e+8	-	8.72e+7	8.81e+7	9.00e+7	9.19e+7	9.37e+7	9.71e+7	1.01e+8	1.05e+8	1.14e+8	1.24e+8	
54	126		Xe	5.34e+7	-	5.07e+7	5.05e+7	5.09e+7	5.15e+7	5.22e+7	5.37e+7	5.55e+7	5.75e+7	6.20e+7	6.65e+7	
54	128		Xe	-	3.94e+7	3.95e+7	3.92e+7	3.87e+7	3.84e+7	3.82e+7	3.83e+7	3.87e+7	3.96e+7	4.15e+7	4.40e+7	
54	129		Xe	-	9.56e+7	9.67e+7	9.76e+7	9.74e+7	9.69e+7	9.61e+7	9.53e+7	9.59e+7	9.78e+7	1.01e+8	1.04e+8	
54	130		Xe	-	1.93e+7	1.94e+7	1.93e+7	1.92e+7	1.92e+7	1.92e+7	1.95e+7	1.97e+7	2.02e+7	2.12e+7	2.23e+7	
54	131		Xe	6.17e+7	-	5.55e+7	5.28e+7	5.11e+7	4.99e+7	4.89e+7	4.81e+7	4.83e+7	4.89e+7	4.94e+7	4.88e+7	
54	132		Xe	9.91e+6	-	9.99e+6	9.81e+6	9.79e+6	9.50e+6	9.39e+6	9.18e+6	9.33e+6	9.40e+6	9.69e+6	1.00e+7	
54	133		Xe	2.21e+7	-	2.04e+7	1.96e+7	1.91e+7	1.87e+7	1.85e+7	1.82e+7	1.81e+7	1.81e+7	1.85e+7	1.86e+7	
54	134		Xe	2.82e+6	-	2.95e+6	2.97e+6	2.96e+6	2.95e+6	2.94e+6	2.92e+6	2.98e+6	2.96e+6	3.04e+6	3.16e+6	
54	136		Xe	3.32e+5	-	2.01e+5	1.64e+5	1.54e+5	1.46e+5	1.32e+5	1.21e+5	1.13e+5	1.07e+5	9.73e+4	9.29e+4	
55	133		Cs	8.10e+7	-	7.81e+7	7.65e+7	7.52e+7	7.40e+7	7.27e+7	7.02e+7	6.79e+7	6.57e+7	6.23e+7	5.97e+7	
55	134		Cs	1.41e+8	1.33e+8	1.23e+8	1.16e+8	1.11e+8	1.07e+8	1.05e+8	9.99e+7	9.63e+7	9.31e+7	8.73e+7	8.29e+7	
55	135		Cs	3.28e+7	2.87e+7	2.76e+7	2.58e+7	2.47e+7	2.39e+7	2.33e+7	2.25e+7	2.19e+7	2.14e+7	2.07e+7	2.03e+7	
56	130		Ba	1.01e+8	-	1.01e+8	1.03e+8	1.05e+8	1.06e+8	1.08e+8	1.12e+8	1.17e+8	1.21e+8	1.31e+8	1.44e+8	
56	132		Ba	5.47e+7	-	5.36e+7	5.44e+7	5.54e+7	5.65e+7	5.77e+7	5.99e+7	6.21e+7	6.44e+7	6.92e+7	7.47e+7	
56	134		Ba	2.14e+7	-	2.38e+7	2.42e+7	2.47e+7	2.52e+7	2.56e+7	2.60e+7	2.65e+7	2.69e+7	2.78e+7	2.88e+7	
56	135		Ba	7.56e+7	-	7.10e+7	6.91e+7	6.80e+7	6.70e+7	6.61e+7	6.52e+7	6.50e+7	6.55e+7	6.76e+7	7.05e+7	
56	136		Ba	1.07e+7	-	9.65e+6	9.29e+6	9.13e+6	9.00e+6	8.90e+6	8.81e+6	8.67e+6	9.00e+6	9.33e+6	9.75e+6	
56	137		Ba	1.22e+7	-	1.18e+7	1.14e+7	1.13e+7	1.12e+7	1.11e+7	1.10e+7	1.10e+7	1.10e+7	1.11e+7	1.11e+7	
56	138		Ba	7.95e+5	-	6.59e+5	6.10e+5	5.88e+5	5.81e+5	5.81e+5	5.86e+5	5.89e+5	5.94e+5	5.98e+5	5.92e+5	
57	138		La	7.68e+7	-	6.17e+7	6.09e+7	6.08e+7	6.06e+7	5.99e+7	5.83e+7	5.64e+7	5.41e+7	5.01e+7	4.65e+7	
57	139		La	6.60e+6	5.61e+6	5.30e+6	4.94e+6	4.78e+6	4.73e+6	4.70e+6	4.62e+6	4.37e+6	4.42e+6	4.18e+6	3.79e+6	
58	132		Ce	3.00e+8	-	2.35e+8	2.28e+8	2.27e+8	2.27e+8	2.28e+8	2.32e+8	2.39e+8	2.47e+8	2.69e+8	2.95e+8	
58	133		Ce	4.34e+8	-	4.05e+8	4.49e+8	4.83e+8	5.05e+8	5.19e+8	5.32e+8	5.38e+8	5.38e+8	5.37e+8	5.34e+8	
58	134		Ce	1.96e+8	-	1.45e+8	1.39e+8	1.39e+8	1.39e+8	1.41e+8	1.45e+8	1.50e+8	1.56e+8	1.70e+8	1.86e+8	
58	135		Ce	2.42e+8	-	2.00e+8	1.97e+8	1.96e+8	1.95e+8	1.95e+8	1.95e+8	1.97e+8	1.99e+8	2.06e+8	2.16e+8	
58	136		Ce	6.03e+7	-	4.36e+7	4.20e+7	4.23e+7	4.29e+7	4.36e+7	4.55e+7	4.75e+7	4.95e+7	5.41e+7	5.74e+7	
58	137		Ce	1.88e+8	-	1.49e+8	1.45e+8	1.43e+8	1.42e+8	1.41e+8	1.41e+8	1.44e+8	1.48e+8	1.59e+8	1.72e+8	
58	138		Ce	2.74e+7	-	2.54e+7	2.52e+7	2.54e+7	2.56e+7	2.60e+7	2.69e+7	2.78e+7	2.88e+7	3.06e+7	3.21e+7	
58	139		Ce	4.56e+7	-	3.35e+7	3.20e+7	3.15e+7	3.12e+7	3.11e+7	3.10e+7	3.11e+7	3.11e+7	3.14e+7	3.31e+7	
58	140		Ce	1.36e+6	-	1.64e+6	1.64e+6	1.60e+6	1.59e+6	1.60e+6	1.59e+6	1.63e+6	1.67e+6	1.71e+6	1.75e+6	
58	141		Ce	1.54e+7	-	1.32e+7	1.22e+7	1.17e+7	1.13e+7	1.10e+7	1.07e+7	1.05e+7	1.03e+7	1.02e+7	1.04e+7	
58	142		Ce	4.27e+6	-	4.07e+6	4.02e+6	4.01e+6	4.03e+6	4.07e+6	4.18e+6	4.30e+6	4.46e+6	4.75e+6	5.07e+6	
59	141		Pr	2.44e+7	-	2.07e+7	1.87e+7	1.76e+7	1.67e+7	1.62e+7	1.53e+7	1.46e+7	1.40e+7	1.32e+7	1.26e+7	
59	142		Pr	1.08e+8	-	8.34e+7	7.84e+7	7.48e+7	7.11e+7	6.76e+7	6.11e+7	5.61e+7	5.20e+7	4.61e+7	4.41e+7	
59	143		Pr	7.04e+7	-	6.11e+7	5.67e+7	5.35e+7	5.11e+7	4.91e+7	4.60e+7	4.37e+7	4.20e+7	3.95e+7	3.78e+7	
60	142		Nd	5.85e+6	-	5.46e+6	5.27e+6	5.15e+6	5.10e+6	5.09e+6	5.15e+6	5.20e+6	5.24e+6	5.44e+6	5.57e+6	
60	143		Nd	5.49e+7	-	4.43e+7	4.03e+7	3.81e+7	3.66e+7	3.56e+7	3.42e+7	3.35e+7	3.30e+7	3.26e+7	3.26e+7	
60	144		Nd	1.42e+7	-	1.23e+7	1.18e+7	1.17e+7	1.17e+7	1.18e+7	1.19e+7	1.21e+7	1.24e+7	1.29e+7	1.34e+7	
60	145		Nd	8.79e+7	-	7.50e+7	6.91e+7	6.50e+7	6.15e+7	5.85e+7	5.37e+7	5.04e+7	4.78e+7	4.47e+7	4.27e+7	
60	146		Nd	1.25e+7	-	1.23e+7	1.25e+7	1.27e+7	1.30e+7	1.33e+7	1.38e+7	1.43e+7	1.48e+7	1.57e+7	1.65e+7	
60	147		Nd	1.30e+8	-	1.04e+8	9.28e+7	8.60e+7	8.11e+7	7.72e+7	7.11e+7	6.67e+7	6.31e+7	5.78e+7	5.44e+7	
60	148		Nd	2.46e+7	-	2.23e+7	2.15e+7	2.10e+7	2.11e+7	2.14e+7	2.18e+7	2.26e+7	2.33e+7	2.43e+7	2.55e+7	
60	150		Nd	3.51e+7	-	2.96e+7	2.68e+7	2.52e+7	2.42e+7	2.34e+7	2.47e+7	2.23e+7	2.24e+7	2.34e+7	2.51e+7	
61	147		Pm	1.34e+8	-	1.15e+8	1.08e+8	1.05e+8	1.03e+8	1.01e+8	9.93e+7	9.82e+7	9.61e+7	9.74e+7	9.74e+7	
61	148	g	Pm	8.00e+8	-	5.40e+8	4.88e+8	4.60e+8	4.43e+8	4.33e+8	4.28e+8	4.26e+8	4.18e+8	3.89e+8	3.53e+8	
61	148	m	Pm	-	-	-	-	-	-	2.23e+8	-	-	-	-	-	
61	149		Pm	5.77e+8	-	4.65e+8	4.18e+8	3.91e+8	3.74e+8	3.62e+8	3.44e+8	3.28e+8	3.13e+8	2.83e+8	2.55e+8	
62	144		Sm	1.29e+7	-	1.30e+7	1.29e+7	1.31e+7	1.33e+7	1.34e+7	1.38e+7	1.41e+7	1.44e+7	1.52e+7	1.59e+7	
62	147		Sm	1.93e+8	-	1.65e+8	1.54e+8	1.48e+8	1.44e+8	1.41e+8	1.36e+8	1.33e+8	1.30e+8	1.27e+8	1.24e+8	
62	148		Sm	3.94e+7	-	3.48e+7	3.39e+7	3.41e+7	3.44e+7	3.50e+7	3.64e+7	3.81e+7	3.99e+7	4.36e+7	4.70e+7	
62	149		Sm	4.32e+8	-	3.26e+8	2.86e+8	2.66e+8	2.52e+8	2.43e+8	2.32e+8	2.27e+8	2.24e+8	2.21e+8	2.19e+8	
62	150		Sm	6.98e+7	-	6.23e+7	6.03e+7	5.99e+7	6.04e+7	6.13e+7	6.38e+7	6.67e+7	6.95e+7	7.52e+7	8.07e+7	
62	151		Sm	0.00e+0	5.27e+8	4.60e+8	4.32e+8	4.13e+8	3.99e+8	3.87e+8	3.69e+8	3.56e+8	3.48e+8	3.25e+8	3.07e+8	
62	152		Sm	7.41e+7	-	7.24e+7	7.07e+7	6.94e+7	7.01e+7	7.11e+7	7.40e+7	7.67e+7	7.92e+7	8.46e+7	8.97e+7	
62	153		Sm	3.19e+8	-	2.57e+8	2.31e+8	2.15e+8	2.05e+8	1.97e+8	1.85e+8	1.75e+8	1.67e+8	1.54e+8	1.45e+8	
62	154		Sm	3.33e+7	-	3.32e+7	3.29e+7	3.30e+7	3.35e+7	3.37e+7	3.45e+7	3.53e+7	3.60e+7	3.77e+7	3.99e+7	
63	151		Eu	7.44e+8	-	7.17e+8	7.27e+8	7.45e+8	7.62e+8	7.73e+8	7.82e+8	7.77e+8	7.62e+8	7.19e+8	6.65e+8	
63	152		Eu	1.23e+9	-	1.14e+9	1.14e+9	1.12e+9	1.07e+9	1.01e+9	8.86e+8	7.95e+8	7.27e+8	6.37e+8	5.78e+8	
63	153		Eu	4.22e+8	-	3.89e+8	3.79e+8	3.74e+8	3.69e+8	3.63e+8	3.47e+8	3.32e+8	3.19e+8	3.01e+8	2.91e+8	
63	154		Eu	7.68e+8	-	6.57e+8	6.58e+8	6.50e+8	6.30e+8	6.04e+8	5.47e+8	4.98e+8	4.59e+8	4.04e+8	3.67e+8	
63	155		Eu	2.77e+8	-	2.35e+8	2.17e+8	2.05e+8	1.96e+8	1.89e+8	1.75e+8	1.64e+8	1.54e+8	1.39e+8	1.28e+8	
64	152		Gd	1.94e+8	-	1.64e+8	1.55e+8	1.52e+8	1.51e+8	1.52e+8	1.57e+8	1.63e+8	1.70e+8	1.85e+8	2.00e+8	
64	153		Gd	9.66e+8	-	7.63e+8	7.33e+8	7.14e+8	6.96e+8	6.78e+8	6.45e+8	6.14e+8	5.87e+8	5.42e+8	5.06e+8	
64	154		Gd	1.66e+8	-	1.56e+8	1.52e+8	1.50e+8	1.53e+8	1.57e+8	1.67e+8	1.78e+8	1.87e+8	2.03e+8	2.18e+8	
64	155		Gd	4.31e+8	-	4.22e+8	4.10e+8	3.99e+8	3.93e+8	3.88e+8	3.79e+8	3.70e+8	3.61e+8	3.44e+8	3.27e+8	
64	156		Gd	9.66e+7	-	9.38e+7	9.26e+7	9.38e+7	9.73e+7	1.01e+8	1.08e+8	1.13e+8	1.17e+8	1.25e+8	1.31e+8	
64	157		Gd	2.52e+8	-	2.35e+8	2.20e+8	2.09e+8	2.01e+8	1.94e+8	1.83e+8	1.75e+8	1.69e+8	1.61e+8	1.54e+8	
64	158		Gd	4.99e+7	-	5.00e+7	4.99e+7	5.06e+7	5.20e+7	5.33e+7	5.54e+7	5.71e+7	5.83e+7	6.10e+7	6.39e+7	
64	160		Gd	3.24e+7	-	2.61e+7	2.54e+7	2.52e+7	2.52e+7	2.53e+7	2.56e+7	2.59e+7	2.61e+7	2.86e+7	2.86e+7	
65	159		Tb	2.59e+8	-	2.46e+8	2.42e+8	2.42e+8	2.37e+8	2.36e+8	2.34e+8	2.35e+8	2.34e+8	2.33e+8	2.29e+8	
65	160		Tb	5.43e+8	-	4.63e+8	4.70e+8	4.72e+8	4.66e+8	4.56e+8	4.29e+8	4.01e+8	3.76e+8	3.37e+8	3.08e+8	
66	156		Dy	2.58e+8	-	2.37e+8	2.32e+8	2.32e+8	2.36e+8	2.42e+8	2.60e+8	2.79e+8	2.97e+8	3.28e+8	3.56e+8	
66	158		Dy	1.89e+8	-	1.64e+8	1.56e+8	1.54e+8	1.55e+8	1.59e+8	1.70e+8	1.83e+8	1.94e+8	2.13e+8	2.27e+8	
66	160		Dy	1.34e+8	-	1.32e+8	1.32e+8	1.35e+8	1.40e+8	1.45e+8	1.55e+8	1.63e+8	1.69e+8	1.79e+8	1.88e+8	
66	161		Dy	3.38e+8	-	3.25e+8	3.13e+8	3.01e+8	2.91e+8	2.82e+8	2.65e+8	2.52e+8	2.41e+8	2.25e+8	2.14e+8	
66	162		Dy	6.70e+7	-	6.69e+7	6.72e+7	6.98e+7	7.30e+7	7.60e+7	8.03e+7	8.30e+7	8.49e+7	8.85e+7	9.16e+7	
66	163		Dy	1.88e+8	-	1.79e+8	1.72e+8	1.67e+8	1.64e+8	1.61e+8	1.55e+8	1.51e+8	1.46e+8	1.37e+8	1.28e+8	
66	164		Dy	3.51e+7	-	3.41e+7	3.37e+7	3.44e+7	3.52e+7	3.60e+7	3.68e+7	3.77e+7	3.83e+7	3.95e+7	4.07e+7	
67	163		Ho	3.44e+8	-	2.84e+8	2.95e+8	3.06e+8	3.05e+8	3.08e+8	3.12e+8	3.14e+8	3.16e+8	3.16e+8	3.12e+8	
67	165		Ho	1.96e+8	-	1.94e+8	1.92e+8	1.90e+8	1.88e+8	1.86e+8	1.82e+8	1.79e+8	1.77e+8	1.75e+8	1.75e+8	
68	162		Er	2.91e+8	-	2.22e+8	2.22e+8	2.31e+8	2.43e+8	2.58e+8	2.86e+8	3.11e+8	3.31e+8	3.65e+8	3.96e+8	
68	164		Er	1.82e+8	-	1.63e+8	1.58e+8	1.59e+8	1.64e+8	1.71e+8	1.85e+8	1.97e+8	2.06e+8	2.19e+8	2.33e+8	
68	166		Er	7.73e+7	-	8.14e+7	8.25e+7	8.30e+7	8.40e+7	8.55e+7	9.01e+7	9.65e+7	1.03e+8	1.16e+8	1.26e+8	
68	167		Er	2.64e+8	-	2.36e+8	2.25e+8	2.15e+8	2.08e+8	2.04e+8	1.99e+8	1.99e+8	2.02e+8	2.09e+8	2.16e+8	
68	168		Er	4.69e+7	-	4.99e+7	5.10e+7	5.23e+7	5.39e+7	5.56e+7	5.82e+7	6.06e+7	6.24e+7	6.62e+7	7.11e+7	
68	169		Er	1.14e+8	-	1.04e+8	1.01e+8	9.88e+7	9.67e+7	9.48e+7	9.12e+7	8.80e+7	8.53e+7	8.07e+7	7.78e+7	
68	170		Er	3.56e+7	-	3.14e+7	2.91e+7	2.82e+7	2.78e+7	2.78e+7	2.80e+7	2.83e+7	2.89e+7	3.05e+7	3.27e+7	
69	169		Tm	2.38e+8	-	2.55e+8	2.82e+8	3.08e+8	3.27e+8	3.40e+8	3.50e+8	3.49e+8	3.43e+8	3.28e+8	3.15e+8	
69	170		Tm	2.93e+8	-	2.56e+8	2.67e+8	2.76e+8	2.83e+8	2.87e+8	2.93e+8	2.93e+8	2.90e+8	2.79e+8	2.66e+8	
69	171		Tm	1.08e+8	-	9.96e+7	9.71e+7	9.61e+7	9.56e+7	9.57e+7	9.62e+7	9.72e+7	9.82e+7	1.01e+8	1.02e+8	
70	168		Yb	1.78e+8	-	1.72e+8	1.74e+8	1.79e+8	1.87e+8	1.95e+8	2.08e+8	2.18e+8	2.25e+8	2.35e+8	2.45e+8	
70	170		Yb	1.10e+8	-	1.11e+8	1.12e+8	1.17e+8	1.23e+8	1.28e+8	1.38e+8	1.44e+8	1.49e+8	1.58e+8	1.65e+8	
70	171		Yb	1.81e+8	-	1.83e+8	1.81e+8	1.83e+8	1.85e+8	1.88e+8	1.89e+8	1.88e+8	1.85e+8	1.79e+8	1.75e+8	
70	172		Yb	4.90e+7	-	5.03e+7	5.12e+7	5.35e+7	5.60e+7	5.82e+7	6.13e+7	6.34e+7	6.49e+7	6.74e+7	7.00e+7	
70	173		Yb	1.30e+8	-	1.22e+8	1.17e+8	1.14e+8	1.11e+8	1.09e+8	1.05e+8	1.02e+8	9.93e+7	9.52e+7	9.17e+7	
70	174		Yb	2.22e+7	-	2.28e+7	2.29e+7	2.36e+7	2.43e+7	2.49e+7	2.56e+7	2.64e+7	2.69e+7	2.81e+7	2.92e+7	
70	175		Yb	9.36e+7	-	8.65e+7	8.38e+7	8.25e+7	8.14e+7	8.06e+7	7.89e+7	7.72e+7	7.53e+7	7.13e+7	6.75e+7	
70	176		Yb	1.75e+7	-	1.79e+7	1.79e+7	1.82e+7	1.85e+7	1.89e+7	1.94e+7	1.97e+7	2.01e+7	2.07e+7	2.19e+7	
71	175		Lu	0.00e+0	2.00e+8	1.94e+8	1.85e+8	1.81e+8	1.78e+8	1.77e+8	1.74e+8	1.71e+8	1.68e+8	1.60e+8	1.50e+8	
71	176		Lu	0.00e+0	2.69e+8	2.61e+8	2.49e+8	2.43e+8	2.39e+8	2.38e+8	2.36e+8	2.34e+8	2.30e+8	2.18e+8	2.00e+8	
72	174		Hf	1.50e+8	-	1.24e+8	1.30e+8	1.38e+8	1.48e+8	1.58e+8	1.75e+8	1.90e+8	2.02e+8	2.23e+8	2.43e+8	
72	176		Hf	0.00e+0	9.47e+7	9.32e+7	9.21e+7	9.36e+7	9.64e+7	1.00e+8	1.07e+8	1.12e+8	1.26e+8	1.27e+8	1.36e+8	
72	177		Hf	0.00e+0	2.44e+8	2.39e+8	2.31e+8	2.27e+8	2.25e+8	2.24e+8	2.23e+8	2.23e+8	2.23e+8	2.23e+8	2.21e+8	
72	178		Hf	0.00e+0	4.75e+7	4.66e+7	4.62e+7	4.74e+7	4.91e+7	5.12e+7	5.47e+7	5.76e+7	5.98e+7	6.40e+7	6.77e+7	
72	179		Hf	0.00e+0	1.52e+8	1.47e+8	1.40e+8	1.37e+8	1.35e+8	1.33e+8	1.31e+8	1.29e+8	1.27e+8	1.22e+8	1.18e+8	
72	180		Hf	0.00e+0	2.20e+7	2.21e+7	2.25e+7	2.32e+7	2.41e+7	2.49e+7	2.61e+7	2.71e+7	2.78e+7	2.94e+7	3.08e+7	
72	181		Hf	3.41e+7	-	3.20e+7	3.13e+7	3.08e+7	3.03e+7	3.00e+7	2.94e+7	2.91e+7	2.87e+7	2.83e+7	2.80e+7	
72	182		Hf	1.96e+7	-	1.92e+7	1.96e+7	2.04e+7	2.12e+7	2.20e+7	2.34e+7	2.40e+7	2.50e+7	2.62e+7	2.80e+7	
73	179		Ta	1.69e+8	-	1.63e+8	1.77e+8	1.85e+8	1.91e+8	1.95e+8	2.00e+8	2.03e+8	2.04e+8	2.06e+8	2.05e+8	
73	180	m	Ta	0.00e+0	2.29e+8	1.88e+8	1.85e+8	1.84e+8	1.85e+8	1.86e+8	1.88e+8	1.90e+8	1.92e+8	1.95e+8	1.95e+8	
73	181		Ta	1.67e+8	-	1.39e+8	1.28e+8	1.22e+8	1.17e+8	1.14e+8	1.10e+8	1.07e+8	1.04e+8	9.98e+7	9.70e+7	
73	182		Ta	1.47e+8	-	1.37e+8	1.48e+8	1.56e+8	1.61e+8	1.64e+8	1.65e+8	1.62e+8	1.58e+8	1.47e+8	1.36e+8	
74	180		W	1.06e+8	-	9.73e+7	1.02e+8	9.60e+7	9.89e+7	1.03e+8	1.11e+8	1.19e+8	1.25e+8	1.36e+8	1.37e+8	
74	182		W	3.78e+7	-	3.85e+7	3.90e+7	3.98e+7	4.11e+7	4.26e+7	4.56e+7	4.85e+7	5.10e+7	5.60e+7	6.02e+7	
74	183		W	9.45e+7	-	8.69e+7	8.35e+7	8.19e+7	8.12e+7	8.10e+7	8.12e+7	8.18e+7	8.22e+7	8.30e+7	8.42e+7	
74	184		W	4.08e+7	-	3.44e+7	3.26e+7	3.25e+7	3.32e+7	3.43e+7	3.64e+7	3.82e+7	3.95e+7	4.18e+7	4.38e+7	
