Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
18	40		Ar	2.00e+5	2.43e+5	2.54e+5	2.79e+5	3.14e+5	3.47e+5	3.74e+5	4.08e+5	4.28e+5	4.36e+5	4.43e+5	4.42e+5	
19	39		K	1.45e+6	-	1.71e+6	1.77e+6	1.77e+6	1.75e+6	1.73e+6	1.66e+6	1.61e+6	1.56e+6	1.46e+6	1.37e+6	
19	40		K	7.77e+6	-	6.21e+6	5.50e+6	5.05e+6	4.73e+6	4.48e+6	4.04e+6	3.79e+6	3.56e+6	3.19e+6	3.05e+6	
19	41		K	5.27e+6	-	4.17e+6	3.70e+6	3.45e+6	3.31e+6	3.23e+6	3.17e+6	3.16e+6	3.17e+6	3.23e+6	3.24e+6	
20	40		Ca	7.16e+5	-	9.73e+5	9.57e+5	9.05e+5	8.65e+5	8.40e+5	8.35e+5	8.58e+5	8.88e+5	9.36e+5	9.61e+5	
20	41		Ca	6.64e+6	-	5.50e+6	5.08e+6	4.79e+6	4.55e+6	4.40e+6	4.06e+6	3.97e+6	3.73e+6	3.59e+6	3.48e+6	
20	42		Ca	1.81e+6	-	2.19e+6	2.24e+6	2.26e+6	2.27e+6	2.29e+6	2.32e+6	2.33e+6	2.34e+6	2.25e+6	2.14e+6	
20	43		Ca	1.38e+7	-	1.09e+7	9.57e+6	8.66e+6	7.99e+6	7.47e+6	6.73e+6	6.28e+6	5.97e+6	5.66e+6	5.56e+6	
20	44		Ca	5.92e+5	-	1.13e+6	1.29e+6	1.34e+6	1.36e+6	1.38e+6	1.37e+6	1.34e+6	1.28e+6	1.20e+6	1.12e+6	
20	45		Ca	4.24e+6	-	3.47e+6	3.11e+6	2.87e+6	2.67e+6	2.56e+6	2.36e+6	2.21e+6	2.06e+6	1.87e+6	1.71e+6	
20	46		Ca	4.30e+5	-	7.27e+5	8.28e+5	8.37e+5	8.15e+5	7.76e+5	7.10e+5	6.62e+5	6.21e+5	5.74e+5	5.35e+5	
20	48		Ca	1.27e+5	-	1.27e+5	1.27e+5	1.27e+5	1.27e+5	1.27e+5	1.27e+5	1.27e+5	1.26e+5	1.27e+5	1.26e+5	
21	45		Sc	1.33e+7	-	1.25e+7	1.14e+7	1.06e+7	9.97e+6	9.39e+6	8.44e+6	7.66e+6	7.22e+6	6.76e+6	6.53e+6	
22	46		Ti	1.79e+6	-	2.86e+6	3.24e+6	3.47e+6	3.72e+6	3.92e+6	4.18e+6	4.22e+6	4.22e+6	4.14e+6	4.06e+6	
22	47		Ti	1.27e+7	-	1.23e+7	1.15e+7	1.07e+7	1.00e+7	9.40e+6	8.43e+6	7.79e+6	7.35e+6	6.85e+6	6.63e+6	
22	48		Ti	2.55e+6	-	5.29e+6	5.67e+6	5.41e+6	5.04e+6	4.65e+6	4.07e+6	3.68e+6	3.39e+6	3.08e+6	2.94e+6	
22	49		Ti	3.11e+6	-	3.23e+6	3.35e+6	3.36e+6	3.31e+6	3.23e+6	3.07e+6	2.97e+6	2.90e+6	2.84e+6	2.89e+6	
22	50		Ti	1.19e+5	-	1.94e+5	2.79e+5	3.82e+5	4.67e+5	5.27e+5	5.91e+5	6.04e+5	6.00e+5	5.73e+5	5.34e+5	
23	50		V	1.39e+7	-	9.54e+6	8.38e+6	7.88e+6	7.48e+6	7.31e+6	6.93e+6	6.79e+6	6.61e+6	6.17e+6	5.81e+6	
